Sample,Well,Depth,DT,RHO,PHIN,R_XO,R_LLD,R_LLS,R_DS,IL
1,An1,3065.13,0.5557,0.2516,0.8795,0.3548,0.6857,0.6688,0.0169,1
2,An1,3089.68,0.9908,0.0110,0.8999,0.6792,0.5421,0.4071,0.1350,1
3,An1,3098.21,0.4444,0.1961,0.5211,0.7160,0.7304,0.6879,0.0425,1
4,An1,3102.33,0.4028,0.3506,0.5875,0.6218,0.6127,0.5840,0.0287,1
5,An1,3173.25,0.3995,0.3853,0.0845,0.5074,0.8920,0.8410,0.0510,1
6,An1,3180.37,0.6117,0.6420,0.0993,0.6478,0.9029,0.8511,0.0518,1
7,An1,3202.00,0.6463,0.5205,0.5351,0.7744,0.2919,0.3870,0.0951,2
8,An1,3265.37,0.4154,0.9545,0.4397,0.6763,0.2906,0.5173,0.2267,2
9,An1,3269.87,0.7901,0.6601,0.1487,0.8994,0.9257,0.9325,0.0068,1
10,An1,3307.87,0.7162,0.1475,0.4481,0.9164,0.7827,0.7992,0.0165,1
11,An1,3357.37,0.5546,0.4778,0.0741,0.7725,0.9756,0.9237,0.0519,1
12,An1,3377.03,0.4909,0.3654,0.1816,0.7625,0.8520,0.8237,0.0283,1
13,An1,3416.48,0.2567,0.5843,0.2043,0.3412,0.7369,0.7454,0.0085,2
14,An1,3445.37,0.0944,0.9818,0.5124,0.7614,0.5943,0.6321,0.0378,2
15,An1,3446.12,0.5215,0.8091,0.7594,0.6924,0.7186,0.7572,0.0386,2
16,An1,3485.25,0.9443,0.2647,0.9904,0.4794,0.4189,0.4776,0.0587,2
17,An1,3575.00,0.2078,0.0000,0.0358,0.8246,0.9872,0.9800,0.0072,1
18,An1,3645.00,0.1193,0.6953,0.8879,0.7839,0.8323,0.8409,0.0086,1
19,An1,3789.37,0.0579,0.6889,0.9418,0.7261,0.8902,0.8947,0.0045,1
20,An2,992.80,0.3471,0.9624,0.3848,0.6115,0.8245,0.8388,0.0143,2
21,An2,1525.37,0.5256,0.3256,0.0821,0.7450,0.9888,0.9234,0.0654,1
22,An2,1527.25,0.0753,0.5441,0.1345,0.6750,0.8468,0.9255,0.0787,1
23,An2,1867.12,0.3145,0.1325,0.0368,0.5744,0.9425,0.8547,0.0878,1
24,An2,1880.00,0.7755,0.8347,0.5546,0.4578,0.1894,0.4265,0.2371,2
25,An2,2045.87,0.4928,0.2110,0.5977,0.6892,0.7411,0.6071,0.1340,1
26,An2,2085.25,0.8678,0.0833,0.9997,0.4085,0.1973,0.4117,0.2144,2
27,An2,2112.13,0.5467,0.2961,0.8235,0.7250,0.6328,0.6825,0.0497,1
28,An2,2355.37,0.4524,0.3426,0.6005,0.7658,0.8992,0.8346,0.0646,1
29,An2,2358.00,0.6463,0.5205,0.5351,0.7744,0.2919,0.3870,0.0951,2
30,An1,3164.00,0.5300,0.3333,0.0758,0.8939,0.9918,0.9863,0.0055,1
31,An1,3166.50,0.5282,0.4589,0.0459,0.7140,1.0000,1.0000,0.0000,1
32,An2,980.49,0.2024,0.4288,0.2149,0.5581,0.8489,0.8504,0.0015,1
33,An2,987.02,0.0631,0.5278,0.3450,0.7403,0.7368,0.7295,0.0073,1
